Open time,Open,Close,High,Low,Volume,Amount
43093,12900000001,12900000001,12900000001,12900000001,2982732,38477242803
43093,12900000001,12900000001,12900000001,12900000001,5367453,69240143706
43093,13489999997,13489999997,13489999997,13476509997,8661884,116809963936
43093,13489999997,13555999986,13555999986,13489999997,7389104,99916099552
43093,13476509997,13476509997,13476509997,13476509997,492782,6640981549
43093,13555999986,13555999986,13555999986,13555999986,31178817,422660042815
43093,13555999987,13555999987,13555999987,13555999987,845033,11455267337
43093,13555999987,13555999987,13555999987,13555999987,275909,37402224004
43093,12900000007,12900000007,12900000007,12900000007,282761,3647616902
43093,130000,130000,130000,130000,2435744,31664672
43093,13040000006,13040000006,13040000006,13040000006,6336148,82623369958
43093,13040000008,13040000008,13040000008,13040000008,1390188,18128051531
43093,13040000009,130000,13040000009,130000,17079828,222136844022
43093,130000,12999999999,13013013013,12999999999,11467357,149084811877
43093,14200999995,14200999995,14200999995,14200999995,2138968,30375484557
43093,12900000003,12900000003,12900000003,12900000003,172666,22273914006
43093,12900000003,12900000003,12900000003,12900000003,887944,11454477603
43093,14200999989,14200999989,14200999989,14200999989,140834,19999836324
43093,14200999983,14200999983,14200999983,14200999983,6501677,92330314966
43093,14200999999,14200999999,14200999999,14200999999,1694453,24062927051
43093,13000000004,13000000004,13000000004,13000000004,12839,1669070001
43093,13000000008,13000000008,13000000008,13000000008,124381,1616953001
43093,13201000001,13201000001,13201000001,13201000001,17111153,22588433077
43093,14200999999,14200999999,14200999999,14200999999,77908,11063715079
43093,13200999999,13200999999,13200999999,13200999999,24167,319028567
43093,1320299999,1320299999,1320299999,1320299999,288,38024639971
43093,13202999991,13202999991,13202999991,13202999991,1917463,25316263972
43093,1320299999,1320299999,1320299999,1320299999,287719,37987539541
43093,13201000004,13200999999,13201000004,13200999999,6889481,90948038708
43093,130000,13101000002,13101000002,130000,7434775,96809219283
43093,130000,130000,130000,130000,5021076,65273988
43093,12900999999,12900000003,12900999999,12900000003,237832,3068233512
43093,12900000001,12900000001,12900000001,12900000001,150532,19418628
43093,12900000001,12900000001,12900000001,12900000001,170234,21960186
43093,12900000001,12900000001,12900000001,12900000001,000282,36378
43093,126920,126920,126920,126920,9,114228
43093,126920,12691999997,126920,12691999997,3781757,47998059834
43093,12691999997,126920,126920,12691999997,4990791,63343119361
43093,126920,13202999989,13202999989,126920,1478825,19251663083
43093,13202999988,13202999988,13202999988,13202999988,14428942,190505321051
43093,12580000002,12580000002,12580000002,12580000002,6470613,81400311553
43093,12580000002,12580000002,12580000002,12580000002,110495,13900271
43093,12580000002,12580000002,12580000002,12580000002,93799,117999142
43093,126000,126000,126000,126000,28688,3614688
43093,126000,126000,126000,126000,704,88704
43093,12760000001,12760000001,12760000001,12760000001,3377784,43100523843
43093,12760000001,12760000001,12760000001,12760000001,385943,492463268
43093,12760000001,12750048189,12760000001,12750048189,6291442,80240073027
43093,126000,126000,126000,126000,32634456,4111941456
43093,126000,126000,126000,126000,408879,51518754
43093,12580000001,12580000001,12580000001,12580000001,17037,21432546
43093,13787999997,13787999997,13787999997,13787999997,7671495,105774573037
43093,12700000001,13787999997,13787999997,12700000001,1,132046688
43093,12700000002,12700000002,12700000002,12700000002,2541302,32274535405
43093,12700000002,12700000002,12700000002,12700000002,120117,15254859
43093,12700000002,12700000001,12700000002,12700000001,5211094,66180893807
43093,12700000001,12700000001,12700000001,12700000001,3318094,42139793803
43093,12700000001,12700000001,12700000001,12700000001,1760443,22357626102
43093,12700000002,123180,12700000002,123180,3565729,439422331667
43093,123180,123180,123180,123180,5167839,63657440802
43093,123180,123180,123180,123180,29522,363651996
43093,123170,123170,123170,123170,81,997677
43093,123160,123160,123160,123160,936024,11528071584
43093,121150,123160,123160,121150,15,1819692859
43093,121150,121150,121150,121150,3136386,3799731639
43093,12115000001,12115000001,12115000001,12115000001,81946,9927757901
43093,12115000001,12115000001,12115000001,12115000001,231834,280866891
43094,12115000001,12115000001,12115000001,12115000001,29054606,351996551719
43094,12115000001,12115000001,12115000001,12115000001,3241185,39266956278
43094,12115000001,12115000001,12115000001,12115000001,2646491,32062238468
43094,121150,121150,121150,121150,789409,9563690035
43094,12115000001,12115000001,12115000001,12115000001,3240417,39257651958
43094,12317999987,12317999987,12317999987,12317999987,2448535,30161054098
43094,12317999987,12317999987,12317999987,12317999987,37083,456788394
43094,123180,123180,123180,123180,846454,10426620372
43094,121010,121010,121010,121010,117,1415817
43094,12317999994,123180,123180,12317999994,13708521,168861561657
43094,12317999999,12317999999,12317999999,12317999999,3538577,43588191482
43094,123180,123180,123180,123180,19849418,244505130924
43094,12700000002,12700000002,12700000002,12700000002,1083391,13759065702
43094,129000,129000,129000,129000,158162,20402898
43094,129000,129000,129000,129000,25677,3312333
43094,129000,129000,129000,129000,45464,5864856
43094,125500,125500,125500,125500,2804516,351966758
43094,13787999998,13787999998,13787999998,13787999998,1529234,21085078389
43094,12101000005,12101000005,12101000005,12101000005,474231,5738669333
